source,title,doi,license,description,publish_time,authors,journal,keywords,url,type
CSVimport,AGFI CSV - 110520201445 - 1,10.1000/csv.test.110520201445.1,No Copyright,Description - 1,2020 Nov 05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 1,AGFI CSV - 1,https://www.1105202014451.com/,Data Set
CSVimport,AGFI CSV - 110520201445 - 2,10.1000/csv.test.110520201445.2,ShareAlike (sa),Description - 2,2020,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 2,AGFI CSV - 2,https://www.1105202014452.com/,Picture
CSVimport,AGFI CSV - 110520201445 - 3,10.1000/csv.test.110520201445.3,NoDerivatives (nd),Description - 3,2020 Nov 05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 3,AGFI CSV - 3,https://www.1105202014453.com/,Preprint
CSVimport,AGFI CSV - 110520201445 - 4,10.1000/csv.test.110520201445.4,Attribution (by),Description - 4,2020-11-05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 4,AGFI CSV - 4,https://www.1105202014454.com/,"Graph (Charts, Figures...)"
CSVimport,AGFI CSV - 110520201445 - 5,10.1000/csv.test.110520201445.5,Not valid,Description - 5,2020,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 5,AGFI CSV - 5,https://www.1105202014455.com/,Presentation
CSVimport,AGFI CSV - 110520201445 - 6,10.1000/csv.test.110520201445.6,NoDerivatives (nd),Description - 6,2020,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 6,AGFI CSV - 6,https://www.1105202014456.com/,Picture
CSVimport,AGFI CSV - 110520201445 - 7,10.1000/csv.test.110520201445.7,No Copyright,Description - 7,2020-11-05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 7,AGFI CSV - 7,https://www.1105202014457.com/,Poster
CSVimport,AGFI CSV - 110520201445 - 8,10.1000/csv.test.110520201445.8,NoDerivatives (nd),Description - 8,2020 Nov 05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 8,AGFI CSV - 8,https://www.1105202014458.com/,Thesis
CSVimport,AGFI CSV - 110520201445 - 9,10.1000/csv.test.110520201445.9,ShareAlike (sa),Description - 9,2020,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 9,AGFI CSV - 9,https://www.1105202014459.com/,Audio
CSVimport,AGFI CSV - 110520201445 - 10,10.1000/csv.test.110520201445.10,ShareAlike (sa),Description - 10,2020-11-05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 10,AGFI CSV - 10,https://www.11052020144510.com/,Dissertation
CSVimport,AGFI CSV - 110520201445 - 11,10.1000/csv.test.110520201445.11,NoDerivatives (nd),Description - 11,2020-11-05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 11,AGFI CSV - 11,https://www.11052020144511.com/,Preprint
CSVimport,AGFI CSV - 110520201445 - 12,10.1000/csv.test.110520201445.12,No Copyright,Description - 12,2020,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 12,AGFI CSV - 12,https://www.11052020144512.com/,Not Categorize
CSVimport,AGFI CSV - 110520201445 - 13,10.1000/csv.test.110520201445.13,Not valid,Description - 13,2020 Nov 05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 13,AGFI CSV - 13,https://www.11052020144513.com/,Not valid
CSVimport,AGFI CSV - 110520201445 - 14,10.1000/csv.test.110520201445.14,Attribution (by),Description - 14,2020,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 14,AGFI CSV - 14,https://www.11052020144514.com/,Poster
CSVimport,AGFI CSV - 110520201445 - 15,10.1000/csv.test.110520201445.15,Attribution (by),Description - 15,2020,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 15,AGFI CSV - 15,https://www.11052020144515.com/,Not valid
CSVimport,AGFI CSV - 110520201445 - 16,10.1000/csv.test.110520201445.16,NonCommercial (nc),Description - 16,2020 Nov 05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 16,AGFI CSV - 16,https://www.11052020144516.com/,Data Set
CSVimport,AGFI CSV - 110520201445 - 17,10.1000/csv.test.110520201445.17,Not valid,Description - 17,2020,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 17,AGFI CSV - 17,https://www.11052020144517.com/,Dissertation
CSVimport,AGFI CSV - 110520201445 - 18,10.1000/csv.test.110520201445.18,Attribution (by),Description - 18,2020-11-05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 18,AGFI CSV - 18,https://www.11052020144518.com/,Thesis
CSVimport,AGFI CSV - 110520201445 - 19,10.1000/csv.test.110520201445.19,Attribution (by),Description - 19,2020-11-05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 19,AGFI CSV - 19,https://www.11052020144519.com/,Working Paper
CSVimport,AGFI CSV - 110520201445 - 20,10.1000/csv.test.110520201445.20,No Copyright,Description - 20,2020 Nov 05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 20,AGFI CSV - 20,https://www.11052020144520.com/,Thesis
CSVimport,AGFI CSV - 110520201445 - 21,10.1000/csv.test.110520201445.21,NoDerivatives (nd),Description - 21,2020-11-05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 21,AGFI CSV - 21,https://www.11052020144521.com/,Conference Paper
CSVimport,AGFI CSV - 110520201445 - 22,10.1000/csv.test.110520201445.22,No Copyright,Description - 22,2020-11-05,Felix Dominguez; Mollie Deleon; Kiara M Watson,publisher title - 22,AGFI CSV - 22,https://www.11052020144522.com/,Dissertation
